epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,49.9235,1.4387,3.25861,2.9953,1.56762,0.00763,0.3125,0.20312,0.13698,0.00763,0.3125,0.20451,0.08366,1.19523,4.00412,3.39535,1.44227,0.000556888,0.000556888,0.000556888
7,58.1399,1.4206,3.38446,2.9384,1.60476,0.00763,0.3125,0.20312,0.13698,0.00763,0.3125,0.20451,0.08366,1.19523,4.00412,3.39535,1.44227,0.000645176,0.000645176,0.000645176
8,66.591,1.30898,2.7962,2.73168,1.47866,0.00942,0.33333,0.19665,0.10951,0.00824,0.29167,0.1467,0.04942,1.24453,3.99265,3.3974,1.47522,0.000731484,0.000731484,0.000731484
9,74.7501,1.48854,3.05166,2.86298,1.62665,0.01142,0.33333,0.19382,0.10506,0.00999,0.29167,0.13784,0.06054,1.28695,4.38547,3.24948,1.46109,0.00081581,0.00081581,0.00081581
10,82.9067,1.29829,2.81374,2.66382,1.43747,0.01142,0.33333,0.19382,0.10506,0.00999,0.29167,0.13784,0.06054,1.28695,4.38547,3.24948,1.46109,0.000898157,0.000898157,0.000898157
11,91.0192,1.39995,3.11115,2.64311,1.61596,0.83073,0.20833,0.38568,0.19246,0.77239,0.16667,0.20147,0.10308,1.40979,3.61945,3.00146,1.61953,0.000978522,0.000978522,0.000978522
12,99.4824,1.37674,3.13518,2.57532,1.51246,0.83073,0.20833,0.38568,0.19246,0.77239,0.16667,0.20147,0.10308,1.40979,3.61945,3.00146,1.61953,0.00105691,0.00105691,0.00105691
13,108.146,1.55003,3.14549,2.60177,1.64989,0.66667,0.25073,0.38399,0.18806,0.59189,0.19518,0.31116,0.16673,1.53253,3.54192,3.0217,1.74982,0.00113331,0.00113331,0.00113331
14,117.996,1.55492,2.87016,2.57455,1.57602,0.66667,0.25073,0.38399,0.18806,0.59189,0.19518,0.31116,0.16673,1.53253,3.54192,3.0217,1.74982,0.00120774,0.00120774,0.00120774
15,126.522,1.38895,2.76706,2.44197,1.48866,0.77156,0.46062,0.42953,0.25723,0.77156,0.46062,0.42635,0.19452,1.26915,3.04666,2.37206,1.43201,0.00123094,0.00123094,0.00123094
16,135.149,1.46536,2.97553,2.42299,1.56814,0.77156,0.46062,0.42953,0.25723,0.77156,0.46062,0.42635,0.19452,1.26915,3.04666,2.37206,1.43201,0.00121679,0.00121679,0.00121679
17,143.526,1.49176,2.82905,2.27679,1.60585,0.79592,0.39408,0.45358,0.28796,0.79592,0.39408,0.45358,0.20555,1.22992,3.36651,2.32351,1.41446,0.00120265,0.00120265,0.00120265
18,151.951,1.55124,3.10007,2.41329,1.66773,0.79592,0.39408,0.45358,0.28796,0.79592,0.39408,0.45358,0.20555,1.22992,3.36651,2.32351,1.41446,0.0011885,0.0011885,0.0011885
19,160.596,1.38588,2.90008,2.3661,1.49702,0.79592,0.39408,0.45358,0.28796,0.79592,0.39408,0.45358,0.20555,1.22992,3.36651,2.32351,1.41446,0.00117435,0.00117435,0.00117435
20,169.156,1.43781,3.19722,2.2426,1.62487,0.70564,0.51389,0.4517,0.28914,0.77723,0.51113,0.46304,0.22215,1.30605,2.92315,3.15727,1.48895,0.00116021,0.00116021,0.00116021
21,177.697,1.32819,2.66891,2.16332,1.49191,0.70564,0.51389,0.4517,0.28914,0.77723,0.51113,0.46304,0.22215,1.30605,2.92315,3.15727,1.48895,0.00114606,0.00114606,0.00114606
